湖南电信-组播1,#genre#
梨园频道,http://113.221.59.169:4000/rtp/239.76.245.179:1234$1080p
梨园频道,http://113.221.59.169:4000/rtp/239.76.252.179:9000$1080p
欢笑剧场,http://113.221.59.169:4000/rtp/239.76.246.43:1234$2160p
欢笑剧场,http://113.221.59.169:4000/rtp/239.76.253.43:9000$2160p
欢笑剧场,http://113.221.59.169:4000/rtp/239.76.254.66:9000
武术世界,http://113.221.59.169:4000/rtp/239.76.245.181:1234$1080p
武术世界,http://113.221.59.169:4000/rtp/239.76.252.181:9000$1080p
游戏风云,http://113.221.59.169:4000/rtp/239.76.254.71:9000
环球奇观,http://113.221.59.169:4000/rtp/239.76.254.26:9000
环球旅游,http://113.221.59.169:4000/rtp/239.76.254.46:9000
生态环境,http://113.221.59.169:4000/rtp/239.76.254.201:9000
生活时尚,http://113.221.59.169:4000/rtp/239.76.254.73:9000
财富天下,http://113.221.59.169:4000/rtp/239.76.246.18:1234$1080p
都市剧场,http://113.221.59.169:4000/rtp/239.76.254.74:9000
金色学堂,http://113.221.59.169:4000/rtp/239.76.254.75:9000
金鹰卡通,http://113.221.59.169:4000/rtp/239.76.245.120:1234$1080p
